"time","rn","level","se"
2023-12-12,0,4.38969670287755,0.111823937747655
2023-12-12,0,4.38969670287755,0.111823937747655
2023-12-12,0,4.38969670287755,0.111823937747655
2023-12-13,0,4.38969670287755,0.111823937747655
2023-12-14,0,4.30966406243155,0.114381362982521
2023-12-15,0,4.25997928047368,0.112964882934691
2023-12-17,0,4.26086399914764,0.11357111014017
2023-12-19,0,4.29673209291567,0.113857224538955
2023-12-20,0,4.29673209291567,0.113857224538955
2023-12-21,0.015748031496063,4.2965903426935,0.113751738079417
2023-12-25,0.311023622047244,4.24974111953963,0.111357688963248
2023-12-26,0.0551181102362205,4.25568794749588,0.113335542936569
2023-12-27,0,4.29646643069014,0.116460896860374
2023-12-28,0,4.30871769423003,0.112262043005469
2023-12-29,0,4.31461113414093,0.109679823845173
2023-12-30,0,4.31870516993993,0.109678053130169
2023-12-31,0,4.32257367411687,0.109639978506513
