"time","rn","level","se"
2023-12-12,0,4.38969670287755,0.111823937747655
2023-12-12,0,4.38969670287755,0.111823937747655
2023-12-12,0,4.38969670287755,0.111823937747655
2023-12-13,0,4.38969670287755,0.111823937747655
2023-12-14,0,4.30966406243155,0.114381362982521
2023-12-15,0,4.25997928047368,0.112964882934691
2023-12-17,0,4.26086399914764,0.11357111014017
2023-12-19,0,4.29673209291567,0.113857224538955
2023-12-20,0,4.29673209291567,0.113857224538955
2023-12-21,0.015748031496063,4.2965903426935,0.113751738079417
2023-12-25,0.311023622047244,4.24974111953963,0.111357688963248
2023-12-27,0,4.27323928780205,0.113672154315226
2024-01-03,0.015748031496063,4.13524205884464,0.115053198212116
2024-01-16,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-17,0,3.94722404450665,0.0609487869096585
2024-01-19,0,3.94722404450665,0.0609487869096585
2024-01-20,0,3.95025198788148,0.0574430049350302
2024-01-21,0,3.95338779915917,0.0571826954916926
2024-01-22,0.0236220472440945,3.95356051647645,0.0572423247875211
2024-01-23,0.586614173228347,3.95643709751998,0.0595500745696671
2024-01-24,0,3.95444428597321,0.0631685710723929
2024-01-25,0,3.9654438310547,0.0645392504072466
